tool_name,vulnerability_type,cwe_id,cvss_score,raw_severity,lines_in_function,cyclomatic_complexity,is_core_module,requires_auth,exposed_to_internet,description_length,priority,remediation_plan
Bandit,CSRF,956,5.2,Medium,144,48,0,1,1,108,Medium,Add CSRF tokens to all forms. Implement SameSite cookies.
ZAP,SQL Injection,831,1.5,Medium,25,2,1,1,1,415,Low,Schedule for quarterly review. Document risk acceptance if needed.
Bandit,CSRF,726,7.4,Medium,310,1,0,0,1,365,Medium,Add CSRF tokens to all forms. Implement SameSite cookies.
ZAP,Path Traversal,501,5.1,Medium,156,40,0,0,0,148,Medium,Implement input validation. Chroot sensitive directories.
Bandit,SQL Injection,117,6.8,Medium,73,30,1,1,1,512,Medium,Address within 1 month. Include in next security sprint.
Bandit,XSS,386,0.4,Medium,120,11,0,0,0,835,Medium,Address within 1 month. Include in next security sprint.
ZAP,SSRF,344,0.8,Medium,312,28,0,1,1,183,Low,Schedule for quarterly review. Document risk acceptance if needed.
ZAP,SSRF,584,7.2,Medium,321,44,0,0,1,38,Medium,Address within 1 month. Include in next security sprint.
Bandit,RCE,395,0.7,Medium,93,12,0,0,1,940,Medium,Address within 1 month. Include in next security sprint.
SonarQube,SSRF,64,0.7,Low,86,39,0,1,0,505,Low,Schedule for quarterly review. Document risk acceptance if needed.
ZAP,Hardcoded Secret,717,0.1,High,336,26,0,0,1,664,Medium,Address within 1 month. Include in next security sprint.
SonarQube,Path Traversal,721,9.6,Medium,425,13,0,1,1,837,High,Fix within 1 week. Implement temporary mitigations.
SonarQube,CSRF,72,7.4,High,499,8,0,0,1,360,Medium,Add CSRF tokens to all forms. Implement SameSite cookies.
SonarQube,RCE,789,3.5,Medium,364,28,1,1,0,563,Low,Schedule for quarterly review. Document risk acceptance if needed.
ZAP,Hardcoded Secret,274,3.0,Medium,435,30,1,0,1,308,Medium,Address within 1 month. Include in next security sprint.
SonarQube,Hardcoded Secret,990,3.5,Low,118,9,1,0,1,729,Medium,Address within 1 month. Include in next security sprint.
ZAP,SQL Injection,320,7.7,Critical,233,39,1,0,0,851,Medium,Address within 1 month. Include in next security sprint.
SonarQube,SSRF,338,6.6,Critical,199,31,0,0,0,954,Medium,Address within 1 month. Include in next security sprint.
Bandit,XSS,366,1.9,Low,206,21,1,0,1,201,Medium,Address within 1 month. Include in next security sprint.
Bandit,XSS,495,1.7,High,413,47,1,1,1,681,Low,Schedule for quarterly review. Document risk acceptance if needed.
ZAP,RCE,607,1.0,Critical,339,34,0,0,1,73,Medium,Address within 1 month. Include in next security sprint.
Bandit,Path Traversal,166,6.6,Low,147,31,0,1,0,764,Medium,Implement input validation. Chroot sensitive directories.
Bandit,XSS,544,7.6,Low,450,25,0,1,0,779,Medium,Address within 1 month. Include in next security sprint.
SonarQube,CSRF,11,2.7,Critical,425,12,0,1,0,673,Low,Schedule for quarterly review. Document risk acceptance if needed.
ZAP,XSS,301,0.2,High,429,1,0,0,1,224,Medium,Address within 1 month. Include in next security sprint.
SonarQube,RCE,729,0.8,Low,271,22,1,1,0,843,Low,Schedule for quarterly review. Document risk acceptance if needed.
SonarQube,XSS,801,9.7,Medium,387,40,0,0,1,175,High,Fix within 1 week. Implement temporary mitigations.
SonarQube,CSRF,102,3.0,High,139,37,1,1,0,552,Low,Schedule for quarterly review. Document risk acceptance if needed.
SonarQube,SQL Injection,425,7.7,High,181,47,1,1,0,892,Medium,Address within 1 month. Include in next security sprint.
SonarQube,Path Traversal,392,6.2,Critical,430,1,0,1,0,241,Medium,Implement input validation. Chroot sensitive directories.
SonarQube,RCE,779,3.8,Critical,30,1,1,1,1,803,Low,Schedule for quarterly review. Document risk acceptance if needed.
SonarQube,SQL Injection,214,2.1,Medium,57,42,1,1,1,550,Low,Schedule for quarterly review. Document risk acceptance if needed.
ZAP,SQL Injection,691,1.2,Low,232,42,0,0,1,204,Medium,Address within 1 month. Include in next security sprint.
Bandit,SQL Injection,88,6.2,Critical,146,21,1,1,1,515,Medium,Address within 1 month. Include in next security sprint.
SonarQube,Hardcoded Secret,553,7.7,Critical,435,15,1,1,0,343,Medium,Address within 1 month. Include in next security sprint.
SonarQube,Path Traversal,401,6.4,High,384,17,1,0,1,777,Medium,Implement input validation. Chroot sensitive directories.
SonarQube,SSRF,588,5.3,Critical,48,22,0,0,0,802,Medium,Address within 1 month. Include in next security sprint.
SonarQube,Path Traversal,889,0.4,Critical,194,38,0,0,1,313,Medium,Implement input validation. Chroot sensitive directories.
SonarQube,Hardcoded Secret,46,9.7,Critical,224,35,0,1,1,842,High,Rotate all exposed credentials. Implement secrets management.
SonarQube,SSRF,672,8.0,Critical,136,45,1,1,0,446,Medium,Address within 1 month. Include in next security sprint.
Bandit,Path Traversal,463,2.9,High,22,16,0,1,0,332,Low,Schedule for quarterly review. Document risk acceptance if needed.
Bandit,SQL Injection,592,9.8,Medium,6,8,1,1,1,511,High,Fix within 1 week. Implement temporary mitigations.
SonarQube,RCE,310,6.0,Medium,204,47,0,1,1,867,Medium,Address within 1 month. Include in next security sprint.
Bandit,SSRF,86,5.8,Low,239,17,1,1,0,923,Medium,Address within 1 month. Include in next security sprint.
ZAP,CSRF,92,7.5,Critical,185,17,0,0,0,402,Medium,Add CSRF tokens to all forms. Implement SameSite cookies.
SonarQube,CSRF,660,8.1,High,360,26,0,0,0,815,Medium,Add CSRF tokens to all forms. Implement SameSite cookies.
ZAP,XSS,673,6.6,Low,292,13,1,1,0,608,Medium,Address within 1 month. Include in next security sprint.
ZAP,SSRF,714,1.3,Low,335,17,0,1,0,158,Low,Schedule for quarterly review. Document risk acceptance if needed.
SonarQube,RCE,936,3.4,Medium,220,38,1,1,1,770,Low,Schedule for quarterly review. Document risk acceptance if needed.
Bandit,Hardcoded Secret,928,9.3,High,116,17,0,1,1,842,High,Rotate all exposed credentials. Implement secrets management.
ZAP,SQL Injection,242,2.2,High,313,48,0,1,1,414,Low,Schedule for quarterly review. Document risk acceptance if needed.
SonarQube,XSS,865,3.7,High,49,14,1,0,1,292,Medium,Address within 1 month. Include in next security sprint.
ZAP,CSRF,2,4.3,Medium,173,45,1,0,0,371,Medium,Add CSRF tokens to all forms. Implement SameSite cookies.
ZAP,Hardcoded Secret,225,4.4,Medium,82,6,1,1,0,388,Low,Schedule for quarterly review. Document risk acceptance if needed.
ZAP,Hardcoded Secret,801,6.1,Medium,322,35,0,0,0,207,Medium,Address within 1 month. Include in next security sprint.
ZAP,SQL Injection,745,9.4,Medium,333,46,1,1,1,565,High,Fix within 1 week. Implement temporary mitigations.
Bandit,SSRF,973,2.4,Medium,45,14,0,1,0,365,Low,Schedule for quarterly review. Document risk acceptance if needed.
ZAP,CSRF,926,1.2,Critical,335,47,1,1,0,549,Low,Schedule for quarterly review. Document risk acceptance if needed.
ZAP,RCE,929,2.0,Critical,20,8,1,0,1,438,Medium,Address within 1 month. Include in next security sprint.
ZAP,Hardcoded Secret,589,8.9,High,448,15,1,0,1,26,High,Rotate all exposed credentials. Implement secrets management.
Bandit,SQL Injection,116,6.5,Low,221,27,1,1,1,648,Medium,Address within 1 month. Include in next security sprint.
ZAP,RCE,666,2.9,High,123,13,1,0,0,388,Medium,Address within 1 month. Include in next security sprint.
ZAP,SSRF,918,8.2,Low,234,49,1,0,0,689,Medium,Address within 1 month. Include in next security sprint.
Bandit,CSRF,103,8.6,Medium,221,31,0,1,1,515,High,Fix within 1 week. Implement temporary mitigations.
Bandit,SSRF,194,8.5,Low,323,35,1,0,1,765,High,Implement network-level restrictions. Validate all URL inputs.
Bandit,Hardcoded Secret,166,9.2,High,339,6,0,0,0,908,High,Rotate all exposed credentials. Implement secrets management.
ZAP,RCE,871,2.5,High,3,5,1,1,1,85,Low,Schedule for quarterly review. Document risk acceptance if needed.
Bandit,RCE,90,7.6,Low,182,22,1,1,0,240,Medium,Address within 1 month. Include in next security sprint.
Bandit,RCE,686,4.6,Critical,206,49,1,0,1,725,Medium,Address within 1 month. Include in next security sprint.
ZAP,Hardcoded Secret,122,8.4,Medium,320,23,0,1,1,971,High,Rotate all exposed credentials. Implement secrets management.
Bandit,Hardcoded Secret,143,7.3,Medium,40,25,0,0,1,257,Medium,Address within 1 month. Include in next security sprint.
ZAP,SSRF,994,7.8,High,59,34,1,1,0,311,Medium,Address within 1 month. Include in next security sprint.
SonarQube,XSS,106,6.6,Critical,439,26,0,1,0,735,Medium,Address within 1 month. Include in next security sprint.
Bandit,SSRF,887,1.8,Low,62,47,1,1,1,224,Low,Schedule for quarterly review. Document risk acceptance if needed.
SonarQube,CSRF,428,5.5,Medium,132,5,1,1,0,167,Medium,Add CSRF tokens to all forms. Implement SameSite cookies.
ZAP,SQL Injection,305,9.8,Critical,60,26,0,0,1,78,High,Fix within 1 week. Implement temporary mitigations.
Bandit,RCE,872,9.4,Medium,372,20,0,1,1,402,High,Fix within 1 week. Implement temporary mitigations.
ZAP,XSS,971,0.4,Critical,331,6,0,1,0,94,Low,Schedule for quarterly review. Document risk acceptance if needed.
SonarQube,SQL Injection,317,1.6,Critical,122,6,0,1,0,276,Low,Schedule for quarterly review. Document risk acceptance if needed.
ZAP,XSS,963,1.3,High,479,18,1,0,0,78,Medium,Address within 1 month. Include in next security sprint.
Bandit,Path Traversal,635,7.3,Medium,107,4,0,0,0,620,Medium,Implement input validation. Chroot sensitive directories.
Bandit,SSRF,902,8.2,Low,96,17,0,1,1,356,High,Implement network-level restrictions. Validate all URL inputs.
SonarQube,Hardcoded Secret,9,2.1,High,347,14,1,1,0,971,Low,Schedule for quarterly review. Document risk acceptance if needed.
ZAP,RCE,774,5.1,High,414,14,0,1,0,737,Medium,Address within 1 month. Include in next security sprint.
Bandit,SSRF,73,8.4,Low,235,13,0,1,1,936,High,Implement network-level restrictions. Validate all URL inputs.
SonarQube,SQL Injection,359,7.3,High,386,7,0,1,1,682,Medium,Address within 1 month. Include in next security sprint.
Bandit,Path Traversal,223,5.4,Critical,62,44,0,1,1,432,Medium,Implement input validation. Chroot sensitive directories.
Bandit,Path Traversal,416,5.9,Critical,256,15,1,0,1,615,Medium,Implement input validation. Chroot sensitive directories.
ZAP,Path Traversal,553,5.1,Medium,49,19,1,1,0,183,Medium,Implement input validation. Chroot sensitive directories.
Bandit,SQL Injection,370,3.0,Medium,393,43,0,1,0,686,Low,Schedule for quarterly review. Document risk acceptance if needed.
ZAP,SQL Injection,716,5.7,Low,348,47,0,1,1,124,Medium,Address within 1 month. Include in next security sprint.
Bandit,SQL Injection,264,6.9,Medium,159,44,1,1,1,229,Medium,Address within 1 month. Include in next security sprint.
SonarQube,SQL Injection,840,8.7,Critical,124,35,0,1,0,965,High,Fix within 1 week. Implement temporary mitigations.
Bandit,Path Traversal,690,6.4,Low,482,17,0,1,0,40,Medium,Implement input validation. Chroot sensitive directories.
ZAP,Path Traversal,860,7.6,Low,317,35,0,0,0,532,Medium,Implement input validation. Chroot sensitive directories.
ZAP,XSS,318,1.6,Medium,207,19,0,0,0,352,Medium,Address within 1 month. Include in next security sprint.
SonarQube,SSRF,84,4.6,Critical,48,20,0,0,0,386,Medium,Address within 1 month. Include in next security sprint.
Bandit,RCE,318,0.1,Low,409,36,0,0,1,139,Medium,Address within 1 month. Include in next security sprint.
Bandit,Hardcoded Secret,111,2.5,Critical,420,35,0,0,1,626,Medium,Address within 1 month. Include in next security sprint.
SonarQube,Path Traversal,251,7.3,Critical,136,32,0,0,1,548,Medium,Implement input validation. Chroot sensitive directories.
Bandit,Hardcoded Secret,383,9.9,Critical,201,48,0,1,1,748,High,Rotate all exposed credentials. Implement secrets management.
Bandit,SSRF,7,1.0,Medium,250,44,1,1,0,11,Low,Schedule for quarterly review. Document risk acceptance if needed.
ZAP,SSRF,459,4.0,High,314,40,1,1,1,880,Low,Schedule for quarterly review. Document risk acceptance if needed.
Bandit,Hardcoded Secret,84,8.0,High,357,24,1,1,0,110,Medium,Address within 1 month. Include in next security sprint.
Bandit,Path Traversal,208,2.0,Low,368,17,0,1,0,542,Low,Schedule for quarterly review. Document risk acceptance if needed.
SonarQube,Hardcoded Secret,900,5.6,Critical,429,7,0,1,0,67,Medium,Address within 1 month. Include in next security sprint.
SonarQube,XSS,390,7.3,Medium,318,43,1,0,0,398,Medium,Address within 1 month. Include in next security sprint.
ZAP,CSRF,314,6.2,Critical,295,1,0,1,0,701,Medium,Add CSRF tokens to all forms. Implement SameSite cookies.
Bandit,Path Traversal,22,1.9,Critical,480,35,1,0,0,950,Medium,Implement input validation. Chroot sensitive directories.
Bandit,Path Traversal,410,3.6,Medium,314,32,0,0,0,350,Medium,Implement input validation. Chroot sensitive directories.
Bandit,RCE,895,7.8,High,209,36,1,1,1,870,High,Fix within 1 week. Implement temporary mitigations.
ZAP,SQL Injection,515,5.5,Critical,355,13,1,1,0,29,Medium,Address within 1 month. Include in next security sprint.
ZAP,CSRF,127,0.1,Critical,485,6,1,1,1,264,Low,Schedule for quarterly review. Document risk acceptance if needed.
SonarQube,SSRF,809,7.6,High,211,14,0,1,1,326,High,Implement network-level restrictions. Validate all URL inputs.
ZAP,Path Traversal,700,0.4,Medium,192,37,1,1,0,47,Low,Schedule for quarterly review. Document risk acceptance if needed.
Bandit,Hardcoded Secret,874,7.5,Low,44,48,0,1,0,669,Medium,Address within 1 month. Include in next security sprint.
Bandit,CSRF,14,2.0,High,29,15,0,1,1,546,Low,Schedule for quarterly review. Document risk acceptance if needed.
ZAP,RCE,971,9.6,Low,59,47,0,0,1,395,High,Fix within 1 week. Implement temporary mitigations.
Bandit,SSRF,978,3.7,Low,71,4,0,1,1,642,Low,Schedule for quarterly review. Document risk acceptance if needed.
Bandit,SQL Injection,12,3.3,High,92,40,0,1,1,937,Low,Schedule for quarterly review. Document risk acceptance if needed.
ZAP,SQL Injection,87,1.5,Critical,265,16,0,0,0,35,Medium,Address within 1 month. Include in next security sprint.
ZAP,RCE,524,3.1,Low,383,28,0,1,0,463,Low,Schedule for quarterly review. Document risk acceptance if needed.
Bandit,RCE,909,8.8,Low,220,16,1,1,0,690,High,Fix within 1 week. Implement temporary mitigations.
Bandit,Hardcoded Secret,537,10.0,Medium,390,4,1,0,1,332,High,Rotate all exposed credentials. Implement secrets management.
Bandit,Path Traversal,301,3.7,Critical,413,45,1,1,0,746,Low,Schedule for quarterly review. Document risk acceptance if needed.
SonarQube,SQL Injection,243,4.5,Low,442,26,0,1,1,522,Low,Schedule for quarterly review. Document risk acceptance if needed.
SonarQube,SSRF,122,7.2,Medium,401,28,0,1,0,828,Medium,Address within 1 month. Include in next security sprint.
SonarQube,CSRF,147,8.9,Critical,400,32,0,1,1,782,High,Fix within 1 week. Implement temporary mitigations.
ZAP,SSRF,567,5.9,High,215,45,0,1,0,22,Medium,Address within 1 month. Include in next security sprint.
SonarQube,XSS,750,3.9,High,479,2,1,1,0,924,Low,Schedule for quarterly review. Document risk acceptance if needed.
ZAP,XSS,356,4.1,Medium,387,31,0,0,1,917,Medium,Address within 1 month. Include in next security sprint.
ZAP,RCE,685,7.0,High,277,3,1,1,1,569,Medium,Address within 1 month. Include in next security sprint.
SonarQube,Hardcoded Secret,904,0.0,Low,64,8,0,1,1,930,Low,Schedule for quarterly review. Document risk acceptance if needed.
SonarQube,XSS,733,6.2,Critical,346,24,1,0,1,834,Medium,Address within 1 month. Include in next security sprint.
SonarQube,SQL Injection,631,3.6,Low,292,15,0,0,1,380,Medium,Address within 1 month. Include in next security sprint.
Bandit,SSRF,309,7.9,Low,490,43,1,1,0,300,Medium,Address within 1 month. Include in next security sprint.
SonarQube,SSRF,695,0.9,High,485,31,0,0,1,341,Medium,Address within 1 month. Include in next security sprint.
Bandit,RCE,288,5.9,Low,245,9,1,1,0,615,Medium,Address within 1 month. Include in next security sprint.
ZAP,Path Traversal,307,4.8,High,470,39,0,1,0,270,Low,Schedule for quarterly review. Document risk acceptance if needed.
Bandit,Path Traversal,812,6.4,Critical,62,45,1,0,0,799,Medium,Implement input validation. Chroot sensitive directories.
SonarQube,CSRF,594,0.6,Critical,426,2,1,1,0,880,Low,Schedule for quarterly review. Document risk acceptance if needed.
ZAP,RCE,966,5.8,Low,332,8,0,1,0,214,Medium,Address within 1 month. Include in next security sprint.
ZAP,CSRF,914,5.6,Medium,170,7,1,0,1,706,Medium,Add CSRF tokens to all forms. Implement SameSite cookies.
ZAP,Path Traversal,723,5.6,High,445,44,0,0,1,696,Medium,Implement input validation. Chroot sensitive directories.
Bandit,RCE,662,6.0,High,269,39,0,0,0,959,Medium,Address within 1 month. Include in next security sprint.
SonarQube,RCE,549,6.8,Low,267,42,0,0,0,396,Medium,Address within 1 month. Include in next security sprint.
ZAP,RCE,352,8.0,High,54,16,1,1,1,901,High,Fix within 1 week. Implement temporary mitigations.
ZAP,Path Traversal,312,2.7,High,16,35,1,0,1,830,Medium,Implement input validation. Chroot sensitive directories.
ZAP,CSRF,873,8.3,Medium,8,30,0,0,0,477,Medium,Add CSRF tokens to all forms. Implement SameSite cookies.
Bandit,CSRF,59,5.0,Medium,104,10,0,0,1,424,Medium,Add CSRF tokens to all forms. Implement SameSite cookies.
Bandit,RCE,643,0.8,Low,59,38,1,0,1,78,Medium,Address within 1 month. Include in next security sprint.
SonarQube,XSS,924,0.6,Medium,313,18,1,0,1,481,Medium,Address within 1 month. Include in next security sprint.
Bandit,Hardcoded Secret,714,3.3,Low,40,5,1,1,0,113,Low,Schedule for quarterly review. Document risk acceptance if needed.
ZAP,Path Traversal,755,7.8,Critical,237,29,0,0,1,767,High,Fix within 1 week. Implement temporary mitigations.
SonarQube,Hardcoded Secret,35,7.1,Low,443,39,0,1,0,170,Medium,Address within 1 month. Include in next security sprint.
ZAP,Hardcoded Secret,445,7.9,Critical,386,34,0,0,0,209,Medium,Address within 1 month. Include in next security sprint.
ZAP,CSRF,93,5.2,Low,94,43,0,0,0,225,Medium,Add CSRF tokens to all forms. Implement SameSite cookies.
Bandit,CSRF,950,4.4,High,222,45,0,0,0,955,Medium,Add CSRF tokens to all forms. Implement SameSite cookies.
SonarQube,XSS,959,1.5,Medium,204,23,1,0,0,221,Medium,Address within 1 month. Include in next security sprint.
Bandit,Hardcoded Secret,207,3.3,Critical,138,5,0,0,1,517,Medium,Address within 1 month. Include in next security sprint.
Bandit,Hardcoded Secret,353,4.3,Low,300,30,1,0,0,25,Medium,Address within 1 month. Include in next security sprint.
SonarQube,RCE,903,0.9,Medium,395,6,1,0,0,507,Medium,Address within 1 month. Include in next security sprint.
ZAP,CSRF,332,2.2,Low,207,46,0,0,0,893,Medium,Add CSRF tokens to all forms. Implement SameSite cookies.
ZAP,Hardcoded Secret,817,6.0,Medium,336,44,1,1,1,341,Medium,Address within 1 month. Include in next security sprint.
SonarQube,SSRF,862,7.4,Medium,81,4,0,0,1,726,Medium,Address within 1 month. Include in next security sprint.
ZAP,XSS,725,10.0,Low,218,29,1,1,1,886,High,Fix within 1 week. Implement temporary mitigations.
SonarQube,SSRF,159,9.3,Critical,2,23,0,0,1,560,High,Implement network-level restrictions. Validate all URL inputs.
SonarQube,SSRF,954,6.4,Critical,178,6,0,1,1,610,Medium,Address within 1 month. Include in next security sprint.
Bandit,Path Traversal,957,4.2,High,396,32,1,0,1,951,Medium,Implement input validation. Chroot sensitive directories.
SonarQube,Path Traversal,24,6.4,Medium,371,42,0,0,1,265,Medium,Implement input validation. Chroot sensitive directories.
Bandit,XSS,404,7.9,High,346,18,1,0,0,775,Medium,Address within 1 month. Include in next security sprint.
ZAP,SSRF,805,1.2,High,279,15,0,1,0,737,Low,Schedule for quarterly review. Document risk acceptance if needed.
ZAP,Hardcoded Secret,516,4.1,Low,146,40,0,1,1,889,Low,Schedule for quarterly review. Document risk acceptance if needed.
ZAP,CSRF,732,8.4,Low,318,32,0,1,0,824,Medium,Add CSRF tokens to all forms. Implement SameSite cookies.
ZAP,XSS,364,3.8,Low,224,9,1,1,0,181,Low,Schedule for quarterly review. Document risk acceptance if needed.
Bandit,RCE,382,5.7,Medium,369,37,1,0,1,658,Medium,Address within 1 month. Include in next security sprint.
ZAP,SSRF,532,5.9,Low,384,10,0,0,0,507,Medium,Address within 1 month. Include in next security sprint.
SonarQube,XSS,956,1.8,Low,62,20,1,0,0,480,Medium,Address within 1 month. Include in next security sprint.
SonarQube,SQL Injection,152,3.6,Medium,294,6,0,1,1,393,Low,Schedule for quarterly review. Document risk acceptance if needed.
SonarQube,SQL Injection,562,3.3,Medium,239,48,1,0,0,699,Medium,Address within 1 month. Include in next security sprint.
Bandit,Path Traversal,689,0.3,Critical,195,3,1,1,1,598,Low,Schedule for quarterly review. Document risk acceptance if needed.
ZAP,CSRF,947,0.2,Low,166,42,0,1,1,709,Low,Schedule for quarterly review. Document risk acceptance if needed.
ZAP,Hardcoded Secret,608,8.3,Low,451,11,0,1,0,516,Medium,Address within 1 month. Include in next security sprint.
ZAP,CSRF,617,2.7,Low,222,43,0,1,0,536,Low,Schedule for quarterly review. Document risk acceptance if needed.
Bandit,CSRF,420,5.2,Critical,61,17,0,1,0,813,Medium,Add CSRF tokens to all forms. Implement SameSite cookies.
SonarQube,CSRF,250,3.0,Low,129,32,0,0,1,840,Medium,Add CSRF tokens to all forms. Implement SameSite cookies.
SonarQube,CSRF,117,9.4,Critical,478,4,1,1,1,334,High,Fix within 1 week. Implement temporary mitigations.
ZAP,RCE,866,2.6,High,173,4,1,1,1,223,Low,Schedule for quarterly review. Document risk acceptance if needed.
SonarQube,RCE,512,4.3,Critical,480,17,0,0,0,217,Medium,Address within 1 month. Include in next security sprint.
SonarQube,Path Traversal,740,8.7,High,156,41,0,1,0,178,High,Fix within 1 week. Implement temporary mitigations.
Bandit,XSS,578,8.4,Low,405,19,0,1,1,339,High,Fix within 1 week. Implement temporary mitigations.
Bandit,SQL Injection,335,1.9,High,378,5,1,0,0,289,Medium,Address within 1 month. Include in next security sprint.
Bandit,CSRF,418,8.0,Critical,110,32,0,0,0,987,Medium,Add CSRF tokens to all forms. Implement SameSite cookies.
Bandit,Path Traversal,932,4.6,Medium,269,22,0,0,1,314,Medium,Implement input validation. Chroot sensitive directories.
ZAP,XSS,774,4.8,High,411,6,1,1,1,155,Low,Schedule for quarterly review. Document risk acceptance if needed.
Bandit,SQL Injection,295,1.3,High,356,35,1,0,0,784,Medium,Address within 1 month. Include in next security sprint.
SonarQube,SSRF,938,0.8,Low,391,22,1,0,1,525,Medium,Address within 1 month. Include in next security sprint.
ZAP,Hardcoded Secret,755,7.3,Critical,278,1,1,0,0,99,Medium,Address within 1 month. Include in next security sprint.
SonarQube,RCE,371,5.0,High,74,20,0,1,1,462,Medium,Address within 1 month. Include in next security sprint.
SonarQube,SSRF,186,4.4,High,487,22,1,0,1,69,Medium,Address within 1 month. Include in next security sprint.
SonarQube,SQL Injection,246,7.3,High,437,48,1,1,1,320,Medium,Address within 1 month. Include in next security sprint.
Bandit,SSRF,637,7.7,High,463,11,0,1,0,537,Medium,Address within 1 month. Include in next security sprint.
Bandit,Hardcoded Secret,268,1.6,Medium,207,13,0,0,0,236,Medium,Address within 1 month. Include in next security sprint.
ZAP,Path Traversal,643,6.1,Critical,388,42,0,1,1,483,Medium,Implement input validation. Chroot sensitive directories.
ZAP,SQL Injection,237,1.4,Low,480,3,1,1,1,987,Low,Schedule for quarterly review. Document risk acceptance if needed.
Bandit,SSRF,530,7.5,Low,279,9,0,0,1,550,High,Implement network-level restrictions. Validate all URL inputs.
